Serial No.,College Name,Info Data
439,GMR Institute of Technology - [GMRIT],"GMR Institute of Technology is an engineering college located in Andhra Pradesh, India. It is affiliated with Jawaharlal Nehru Technological University, Kakinada. GMRIT provides its learning community state-of-the-art facilities, infrastructure and a competent faculty. The Institute encourages collaborative learning between industry and academia as a means of reinforcing its curriculum with practical and real-world experiences."
440,Panimalar Institute of Technology-[PIT],"Intended for the propagation of reflective knowledge among the ambitious student community in Engineering and Technology the college was established in the year of 2008.This is a Christian minority college that is working under Jaisakthi Educational Trust. Located at Poonamallee, a city close to Chennai,the college is spread across 65.745 acres of land."
441,Muthayammal Engineering College - [MEC],"Muthayammal Engineering College (MCE), Namakkal was established in 2000 and is running under the aegis of Muthayammal Educational Trust and Research Foundation. The college is affiliated to Anna University. It is approved by All India Council for Technical Education (A.I.C.T.E) and accredited by National Board of Accreditation (NBA). The college offers undergraduate, postgraduate and Ph.D. Courses. The main objective of the college is to prepare students with high professional skills and ethical value. The college has a placement cell that conducts many programs like programs for confidence building through external experts, regular aptitude test, group discussions, and career counseling to prepare the students for their final placement."
442,Technocrats Institute of Technology - [TIT] (Excellence),"Technocrats Institute of Technology (Excellence), Bhopal was established in 1999 by TIT Group of Institutions under the guidance of “Chandra Vadani Mahila Shiksha Samiti”. The college is affiliated to Rajiv Gandhi Technical University. It is approved by the All India Council for Technical Education (A.I.C.T.E) and the Government of Madhya Pradesh. It is one of the premier technical institutes that provides the best quality education in the field of Engineering and Technology. The college offers courses in Management and engineering fields. The college has separate accommodation for girls and boys with furnished rooms and uninterrupted power supply. There is a special vehicle available 24/7 at the hostel premises."
443,Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology - [Vel Tech],"Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology apporved by UGC & MHRD is a Deemed University, located in Chennai, Tamil Nadu. It is also accredited by NAAC with the highest grade A++ and ranked 87th in Engineering Category by NIRF 2023. The University provides multiple courses under the Under Graduate, Post Graduate as well as Doctoral domains in Engineering, Management, Media, Technology, and Law. Admission to Vel Tech University can be done by applying online or by visiting the Vel Tech Admission Office. The selection methods of various courses offered by the university are different. In the year 2021, Vel Tech University Placement has seen excellent growth in its highest package offered at INR 22 LPA. Top corporates such as Capgemini, Accenture, IBM, Infosys, TCS, Wipro, HCL, Mindtree, DXC, TechMahindra, Amazon, Walmart, Informatica, etc., hire productive professionals from Vel Tech."
444,RNB Global University - [RNBGU],
445,Axis Colleges,"Axis Colleges was established in the year 2010 in Kanpur. The college is a private institution approved by AICTE, Council of Architecture, PCI, UGC, National Cyber Defense Research Centre, and MHRD. It is affiliated with Dr. A.P.J Abdul Kalam Technical University (AKTU)."
446,Amity University,"Amity University Greater Noida is a private university established by the State Government. It is recognized by UGC and holds the membership of AIU and the Association of Commonwealth Universities. Amity University Greater Noida is approved by AICTE and accredited by NAAC with an “A+” Grade. The university offers UG, PG and Doctoral programs in the fields of Commerce, Computer Science, Engineering, Literature, Management, Finance, Mass Communication, Travel and Tourism, Social Science, etc. Apart from this, it also offers value addition courses for overall personal and professional development."
447,Netaji Subhas Institute of Technology - [NSIT],"Netaji Subhas Institute of Technology is the private engineering college established with the approval of AICTE. It is affiliated to Aryabhata Knowledge University, Patna. The institute offers courses in the field of engineering. Admissions are done on the basis of national entrance exams i.e JEE Main and BPTPIA scores. The institute has training and placement cell to enhance the skills of the student to be placed in good companies. Almost 80% of students have been placed in good companies."
448,Excel Engineering College,"Excel Engineering College was established in 2007 by Sri Rangaswamy Educational Trust. It has been graded ‘A+’ by NAAC. The college is affiliated with Anna University and approved by AICTE. Apart from B.E./ B.Tech, the institute also offers M.E. in 6 different disciplines and various Ph.D. programs. The admission process is merit-based, a valid score in the TNEA examination is the minimum requirement to take part in the counseling process. Last year, the cutoff rank for Biomedical Engineering went up to 6240."
449,Muthayammal College of Engineering - [MCE],"Muthayammal College of Engineering is a private engineering college located in Rasipuram, Tamil Nadu. It is ranked among one of the best engineering colleges in India. It is accredited by NBA & NAAC. It offers UG, PG & Ph.D in its campus. It has 16 departments in total. The total intake capacity of the college is 1110. Admission to the institute is both on the basis of merit & entrance. For UG programs, admission is done on the basis of TNEA counselling and for PG programs, TANCET scores are accepted. The college has 22% of faculty members with Ph.D. and more than 50% of faculty have experience of more than 10 years."
450,Sandip University,"Sandip University is a self financed private university located in Nashik, Maharashtra. Established in 2017, the University is UGG recognised, offering both Undergraduate and Postgraduate programs in the fields of Engineering and Technology, Law, Commerce and Management, Health Sciences, Pharmaceutical Sciences, Fashion Design and Beauty, Interior Design for the students. The University also offers some Part time programs and Vocational courses."
